id,Accuracy,Precision,Recall,F1
253,0.837,0.4854368932038835,0.3125,0.38022813688212925
254,0.843,0.5405405405405406,0.125,0.20304568527918782
255,0.842,0.5131578947368421,0.24375,0.33050847457627114
256,0.84,0.5,0.3875,0.4366197183098592
257,0.841,0.5040650406504065,0.3875,0.43816254416961126
258,0.78,0.391304347826087,0.675,0.4954128440366973
259,0.797,0.411522633744856,0.625,0.49627791563275436
260,0.84,0.5,0.33125,0.39849624060150374
261,0.791,0.40239043824701193,0.63125,0.49148418491484186
262,0.84,0.5,0.20625,0.29203539823008845
263,0.781,0.3886792452830189,0.64375,0.48470588235294126
264,0.846,0.5714285714285714,0.15,0.23762376237623759
265,0.846,0.575,0.14375,0.22999999999999995
266,0.839,0.4953271028037383,0.33125,0.39700374531835203
267,0.789,0.38461538461538464,0.53125,0.44619422572178485
268,0.841,0.5072463768115942,0.21875,0.3056768558951965
269,0.845,0.5454545454545454,0.1875,0.27906976744186046
270,0.835,0.47191011235955055,0.2625,0.3373493975903615
271,0.845,0.5609756097560976,0.14375,0.2288557213930348
272,0.843,0.5348837209302325,0.14375,0.22660098522167485
273,0.849,0.6,0.16875,0.2634146341463415
274,0.848,0.6,0.15,0.24
275,0.849,0.6,0.16875,0.2634146341463415
276,0.834,0.46938775510204084,0.2875,0.35658914728682173
277,0.844,0.5185185185185185,0.35,0.417910447761194
278,0.836,0.4885057471264368,0.53125,0.5089820359281438
279,0.839,0.4909090909090909,0.16875,0.2511627906976744
280,0.788,0.3968253968253968,0.625,0.4854368932038835
281,0.839,0.4931506849315068,0.225,0.3090128755364807
282,0.839,0.4918032786885246,0.1875,0.27149321266968324
283,0.838,0.4878048780487805,0.25,0.3305785123966942
284,0.837,0.4823529411764706,0.25625,0.3346938775510204
285,0.835,0.4691358024691358,0.2375,0.3153526970954357
286,0.828,0.44,0.275,0.3384615384615385
287,0.797,0.4085106382978723,0.6,0.4860759493670886
288,0.844,0.5588235294117647,0.11875,0.1958762886597938
289,0.846,0.5714285714285714,0.15,0.23762376237623759
290,0.846,0.5454545454545454,0.225,0.31858407079646023
291,0.83,0.44565217391304346,0.25625,0.3253968253968254
292,0.803,0.41148325358851673,0.5375,0.46612466124661245
293,0.801,0.40930232558139534,0.55,0.4693333333333333
294,0.839,0.4925373134328358,0.20625,0.2907488986784141
295,0.839,0.4925373134328358,0.20625,0.2907488986784141
296,0.846,0.56,0.175,0.26666666666666666
297,0.79,0.40310077519379844,0.65,0.4976076555023924
298,0.845,0.5641025641025641,0.1375,0.22110552763819097
299,0.783,0.38271604938271603,0.58125,0.46153846153846156
300,0.844,0.5588235294117647,0.11875,0.1958762886597938
301,0.847,0.5777777777777777,0.1625,0.25365853658536586
302,0.838,0.48214285714285715,0.16875,0.25
303,0.841,0.5172413793103449,0.09375,0.15873015873015875
